"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373522029,3735220,29.449619429086923
"compute_fd_y_kernel",100,110329575,1103295,8.698721208549932
"compute_fd_xyz_lds_window_vec_kernel",100,108380781,1083807,8.545072327922096
"compute_fd_x_kernel",100,104350480,1043504,8.227311067756451
"compute_fd_y_vec_kernel",100,94538745,945387,7.453723864713463
"compute_fd_z_window_kernel",100,94276856,942768,7.433075734793757
"compute_fd_z_window_vec_kernel",100,92942438,929424,7.327866137478886
"compute_fd_x_vec_kernel",100,86794190,867941,6.843119456699733
"compute_fd_xy_lds_vec_kernel",100,86310710,863107,6.805000414458251
"compute_fd_y_lds_vec_kernel",100,84408591,844085,6.655031533616593
"max_absval_gpu_kernel",10,14090342,1409034,1.1109256678558026
"initialize_polynomial_kernel",1,11511600,11511600,0.9076097597978003
"__amd_rocclr_fillBufferAligned.kd",12,6886128,573844,0.5429233972703106
