$n_w$,Bandwidth,Read,Write,bw
  1,224.474,3281.084,536.615,795.562
  2,368.07,1944.933,536.559,852.290
  4,518.286,1273.160,536.545,892.114
  8,711.704,916.410,536.542,946.366
 16,847.137,761.530,536.550,1006.645
 24,908.897,709.707,536.608,1038.322
 32,941.407,678.421,536.547,1050.067
 40,947.677,662.018,536.600,1040.341
 48,979.841,648.483,536.563,1065.905
 56,984.694,646.323,536.540,1067.401
 64,976.851,634.567,536.547,1048.968
 72,967.395,634.844,536.596,1039.222
 80,994.937,627.609,536.591,1052.052
 96,1023.89,620.478,536.554,1088.665
112,1018.82,615.791,536.559,1077.849
128,1012.02,610.332,536.554,1066.920
144,989.443,612.525,536.598,1041.968
160,1015.93,612.846,536.552,1069.404
176,982.422,605.110,536.554,1030.048
192,1015.35,606.747,536.552,1065.787
208,1041.94,606.696,536.559,1094.849
224,990.712,606.729,536.556,1039.292
288,930.212,601.245,536.564,970.714
320,963.113,601.313,536.568,1004.381
384,909.922,601.289,536.602,947.640
448,806.449,601.307,536.604,839.366
512,724.485,596.106,536.607,751.385
