$n_w$,Speedup,Bandwidth (PoP),Read-Write Ratio
1,1.00,73.31,9.07
2,1.59,69.93,5.04
3,2.09,71.51,3.70
4,2.47,72.14,3.03
5,2.75,72.29,2.62
6,2.96,72.07,2.36
7,3.12,71.73,2.16
8,3.26,71.39,2.02
9,3.37,71.25,1.91
10,3.47,70.99,1.82
12,3.63,70.90,1.69
14,3.77,70.93,1.59
16,3.88,70.93,1.52
18,3.98,71.06,1.46
20,4.06,71.04,1.41
24,4.16,70.86,1.35
28,4.23,70.65,1.30
32,4.29,70.55,1.27
36,4.34,70.37,1.23
40,4.37,70.18,1.21
48,4.43,70.01,1.18
56,4.46,69.74,1.15
64,4.48,69.61,1.14
72,4.50,69.39,1.12
80,4.53,69.46,1.11
96,4.54,69.19,1.10
112,4.56,68.89,1.08
128,4.56,68.72,1.07
144,4.57,68.55,1.07
160,4.58,68.70,1.07
176,4.58,68.38,1.06
192,4.59,68.58,1.06
200,4.57,68.06,1.05
232,4.59,68.27,1.05
264,4.58,67.81,1.04
296,4.59,67.98,1.04
328,4.57,67.74,1.04
360,4.57,67.46,1.03
392,4.58,67.54,1.03
424,4.59,67.68,1.03
456,4.59,67.77,1.03
488,4.55,67.11,1.03
500,4.51,66.34,1.02
520,4.52,66.52,1.02
552,4.52,66.38,1.02
584,4.53,66.65,1.02
616,4.54,66.67,1.02
648,4.54,66.77,1.02
680,4.55,66.86,1.02
712,4.56,66.98,1.02
744,4.56,67.03,1.02
776,4.56,67.10,1.02
808,4.57,67.15,1.02
840,4.57,67.18,1.02
872,4.57,67.22,1.02
904,4.57,67.23,1.02
936,4.52,66.49,1.02
968,4.47,65.67,1.02
1000,4.40,64.38,1.02
